date,product_id,price,units_sold,holiday,competitor_price,promotion,stock_level,store_location,season
01-01-2024,1001,38.20085,51,1,41.17651,1,468,New York,Winter
02-01-2024,1001,37.94723,75,0,42.58533,0,349,New York,Winter
03-01-2024,1001,40.07285,22,0,35.10837,0,79,New York,Winter
04-01-2024,1001,39.22069,47,0,42.12341,0,424,New York,Summer
05-01-2024,1001,37.82565,82,1,36.06302,1,232,New York,Winter
01-02-2024,1001,39.3372,48,1,38.58123,0,332,New York,Winter
02-02-2024,1001,37.7354,46,0,35.17568,1,324,New York,Winter
03-02-2024,1001,38.16891,69,0,36.99053,1,248,New York,Winter
04-02-2024,1001,39.37387,50,0,37.75248,0,287,New York,Summer
05-02-2024,1001,37.84321,77,0,38.2127,0,462,New York,Winter
01-01-2024,1001,37.86763,52,1,37.57363,0,410,Los Angeles,Spring
02-01-2024,1001,37.72228,42,0,43.53528,0,404,Los Angeles,Fall
03-01-2024,1001,38.7192,33,1,43.36375,1,110,Los Angeles,Spring
04-01-2024,1001,39.75685,43,0,34.78833,0,209,Los Angeles,Spring
05-01-2024,1001,37.68946,15,0,39.1579,0,103,Los Angeles,Spring
06-01-2024,1001,40.82941,89,0,41.51115,0,438,Los Angeles,Winter
07-01-2024,1001,39.68978,93,0,44.14833,0,184,Los Angeles,Winter
08-01-2024,1001,38.15022,42,0,39.92619,0,359,Los Angeles,Winter
09-01-2024,1001,39.01396,69,1,39.99497,1,367,Los Angeles,Winter
10-01-2024,1001,37.19572,98,1,42.06425,1,452,Los Angeles,Summer
01-01-2024,1001,38.59585,60,0,37.68604,0,409,Chicago,Fall
02-01-2024,1001,41.00155,24,0,35.98482,0,98,Chicago,Spring
03-01-2024,1001,40.33286,50,0,39.1581,1,155,Chicago,Summer
04-01-2024,1001,38.6497,27,0,38.11425,0,317,Chicago,Spring
05-01-2024,1001,38.70426,36,0,34.31341,1,203,Chicago,Fall
06-01-2024,1001,40.83661,90,0,39.42826,1,106,Chicago,Spring
07-01-2024,1001,39.98958,66,0,34.61363,1,264,Chicago,Winter
08-01-2024,1001,37.58705,61,1,41.40921,0,303,Chicago,Summer
09-01-2024,1001,40.03917,17,0,43.54939,1,114,Chicago,Summer
10-01-2024,1001,38.93556,49,0,41.16429,0,446,Chicago,Winter
11-01-2024,1001,37.26427,24,1,34.21964,1,283,Houston,Fall
12-01-2024,1001,39.93946,17,0,38.37629,1,157,Houston,Winter
13-01-2024,1001,37.55976,36,0,41.01438,1,461,Houston,Fall
14-01-2024,1001,39.96337,60,0,39.56754,1,379,Houston,Summer
15-01-2024,1001,37.91487,73,0,35.3347,0,357,Houston,Summer
16-01-2024,1001,40.95311,71,1,36.76359,1,187,Houston,Spring
17-01-2024,1001,39.66015,94,1,42.39498,0,478,Houston,Winter
18-01-2024,1001,40.16097,60,0,41.45231,0,281,Houston,Fall
19-01-2024,1001,39.55416,80,0,40.76025,1,360,Houston,Winter
20-01-2024,1001,38.7551,86,0,36.92121,1,63,Houston,Spring
21-01-2024,1001,40.92963,33,0,37.68222,0,417,Phoenix,Winter
22-01-2024,1001,37.79175,51,0,41.22674,1,436,Phoenix,Fall
